Scenario,Model,Metric,Mean,Std,Median,Min,Max
Selected risk factors,Logistic Regression,PR_AUC,0.1293836126778876,0.0350389973689827,0.1226319869142222,0.0738598987435795,0.1917364445431984
Selected risk factors,Logistic Regression,ROC_AUC,0.6125643989038485,0.0959614680093533,0.6496559633027523,0.3944954128440366,0.7470511140235911
Selected risk factors,Logistic Regression,Recall,0.437142857142857,0.1813441873502271,0.5,0.125,0.75
Selected risk factors,Logistic Regression,Precision,0.1020013079162484,0.0388141362988576,0.1111111111111111,0.0178571428571428,0.16
Selected risk factors,Logistic Regression,F1,0.1608891539489287,0.0602888179017341,0.1714285714285714,0.0317460317460317,0.25
Selected risk factors,Logistic Regression,Balanced_accuracy,0.5722428213987847,0.0949868782723563,0.5951834862385321,0.3191349934469201,0.6893840104849279
Selected risk factors,Logistic Regression,MCC,0.0832789943844861,0.1012431642336709,0.1045074155867687,-0.1723761491357291,0.2193536539951087
Selected risk factors,Random Forest,PR_AUC,0.1189510177648343,0.0343175103997724,0.1217267209914268,0.0545490551393645,0.1801169360851499
Selected risk factors,Random Forest,ROC_AUC,0.6045826879542475,0.097637658666674,0.6159895150720839,0.3314220183486238,0.7581913499344691
Selected risk factors,Random Forest,Recall,0.3307142857142857,0.1833030277982335,0.2857142857142857,0.125,0.875
Selected risk factors,Random Forest,Precision,0.1225918855475484,0.0600528915232859,0.1153846153846153,0.044776119402985,0.2857142857142857
Selected risk factors,Random Forest,F1,0.1614510929998321,0.0586286849780674,0.16,0.08,0.2727272727272727
Selected risk factors,Random Forest,Balanced_accuracy,0.5559476349338734,0.061699729992726,0.5561926605504588,0.3939220183486238,0.6766233766233767
Selected risk factors,Random Forest,MCC,0.0840341230887442,0.0834679034692967,0.0804902678365889,-0.1082408221761821,0.2172282968859017
Selected + diagnostics,Logistic Regression,PR_AUC,0.6993562226722737,0.1707726590805353,0.7108843537414966,0.4497186942959001,0.975
Selected + diagnostics,Logistic Regression,ROC_AUC,0.9435160252591446,0.0648867468745902,0.9787844036697247,0.7318181818181819,0.9988532110091743
Selected + diagnostics,Logistic Regression,Recall,0.905,0.0965898122823245,0.875,0.7142857142857143,1.0
Selected + diagnostics,Logistic Regression,Precision,0.545128316128316,0.0992923206779195,0.5384615384615384,0.4,0.8
Selected + diagnostics,Logistic Regression,F1,0.6754485972740112,0.0874256116368243,0.6666666666666666,0.5263157894736842,0.8888888888888888
Selected + diagnostics,Logistic Regression,Balanced_accuracy,0.9248536280233528,0.0491130787108205,0.9145642201834864,0.8253246753246753,0.9908256880733946
Selected + diagnostics,Logistic Regression,MCC,0.6742216498676917,0.0901450162511052,0.6585055710895417,0.5086359947340992,0.886183446537697
Selected + diagnostics,Random Forest,PR_AUC,0.6851947912465568,0.1667332807519794,0.6618055555555555,0.4544058744993324,0.975
Selected + diagnostics,Random Forest,ROC_AUC,0.9434914809960682,0.0535536619689513,0.9384010484927916,0.7826834862385321,0.9988532110091743
Selected + diagnostics,Random Forest,Recall,0.8685714285714287,0.1116755504639604,0.875,0.7142857142857143,1.0
Selected + diagnostics,Random Forest,Precision,0.6270208157855217,0.1175245465859153,0.6153846153846154,0.4117647058823529,1.0
Selected + diagnostics,Random Forest,F1,0.7218629712221043,0.095342470181175,0.7368421052631579,0.5263157894736842,0.9230769230769232
Selected + diagnostics,Random Forest,Balanced_accuracy,0.9150663648278328,0.0563639091535072,0.919151376146789,0.8253246753246753,0.9908256880733946
Selected + diagnostics,Random Forest,MCC,0.7133821407287738,0.1006840057767897,0.7249530131616218,0.5086359947340992,0.9216022186120482
