Feature,Standardized_coefficient,Abs_coefficient
hormonal_contraceptives_missing,-0.24770417493795877,0.24770417493795877
STDs (number),0.20716266567387684,0.20716266567387684
STDs:syphilis,-0.13770585290549975,0.13770585290549975
STDs:HIV,0.13452212919490583,0.13452212919490583
Dx:HPV,0.13444816096346898,0.13444816096346898
Hormonal Contraceptives,0.12756088822897652,0.12756088822897652
smokes_missing,-0.11170656212687402,0.11170656212687402
Dx:CIN,0.10601654162722152,0.10601654162722152
IUD,0.09194322311976949,0.09194322311976949
Dx,0.07843546484516273,0.07843546484516273
Smokes,0.06581322875368477,0.06581322875368477
num_of_pregnancies_missing,0.0240634729630875,0.0240634729630875
number_of_sexual_partners_missing,-0.01784836919135438,0.01784836919135438
