,count,mean,median,std,variance,min,max
Age,858.0,26.82051282051282,25.0,8.497948065482596,72.21512132363941,13.0,84.0
Number of sexual partners,832.0,2.527644230769231,2.0,1.6677604771839054,2.781425009256688,1.0,28.0
First sexual intercourse,851.0,16.995299647473562,17.0,2.8033553841969017,7.858801410105758,10.0,32.0
Num of pregnancies,802.0,2.275561097256858,2.0,1.4474140691327373,2.0950074875233886,0.0,11.0
Smokes,845.0,0.1455621301775148,0.0,0.3528755570364017,0.1245211587537508,0.0,1.0
Smokes (years),845.0,1.219721412585799,0.0,4.089016937562997,16.720059515677068,0.0,37.0
Smokes (packs/year),845.0,0.4531439506492308,0.0,2.2266098026053953,4.957791213058437,0.0,37.0
Hormonal Contraceptives,750.0,0.6413333333333333,1.0,0.4799291595848794,0.23033199821984868,0.0,1.0
Hormonal Contraceptives (years),750.0,2.2564192013893334,0.5,3.7642535291465054,14.169604631691922,0.0,30.0
IUD,741.0,0.11201079622132254,0.0,0.31559275827001043,0.09959878907247324,0.0,1.0
IUD (years),741.0,0.5148043184885289,0.0,1.9430885475317108,3.775593103548893,0.0,19.0
STDs,753.0,0.1049136786188579,0.0,0.3066458457562428,0.09403167471956146,0.0,1.0
STDs (number),753.0,0.17662682602921648,0.0,0.5619928353566201,0.3158359469921732,0.0,4.0
STDs:condylomatosis,753.0,0.05843293492695883,0.0,0.23471619027599686,0.055091689977677966,0.0,1.0
STDs:cervical condylomatosis,753.0,0.0,0.0,0.0,0.0,0.0,0.0
STDs:vaginal condylomatosis,753.0,0.005312084993359893,0.0,0.07273852600189898,0.005290893164928935,0.0,1.0
STDs:vulvo-perineal condylomatosis,753.0,0.057104913678618856,0.0,0.23219720820836717,0.05391554349975982,0.0,1.0
STDs:syphilis,753.0,0.02390438247011952,0.0,0.15285284048760792,0.023363990845130113,0.0,1.0
STDs:pelvic inflammatory disease,753.0,0.0013280212483399733,0.0,0.03644202585395018,0.0013280212483399733,0.0,1.0
STDs:genital herpes,753.0,0.0013280212483399733,0.0,0.03644202585395018,0.0013280212483399731,0.0,1.0
STDs:molluscum contagiosum,753.0,0.0013280212483399733,0.0,0.03644202585395018,0.0013280212483399733,0.0,1.0
STDs:AIDS,753.0,0.0,0.0,0.0,0.0,0.0,0.0
STDs:HIV,753.0,0.02390438247011952,0.0,0.15285284048760792,0.023363990845130113,0.0,1.0
STDs:Hepatitis B,753.0,0.0013280212483399733,0.0,0.03644202585395018,0.0013280212483399731,0.0,1.0
STDs:HPV,753.0,0.0026560424966799467,0.0,0.051502529309489134,0.0026525105252747875,0.0,1.0
STDs: Number of diagnosis,858.0,0.08741258741258741,0.0,0.3025447418507476,0.09153332082153551,0.0,3.0
STDs: Time since first diagnosis,71.0,6.140845070422535,4.0,5.8950239903737875,34.751307847082494,1.0,22.0
STDs: Time since last diagnosis,71.0,5.816901408450704,3.0,5.7552705264824855,33.12313883299799,1.0,22.0
Dx:Cancer,858.0,0.02097902097902098,0.0,0.1433975861165658,0.020562867704057908,0.0,1.0
Dx:CIN,858.0,0.01048951048951049,0.0,0.10193915867747837,0.010391592071872112,0.0,1.0
Dx:HPV,858.0,0.02097902097902098,0.0,0.1433975861165658,0.020562867704057908,0.0,1.0
Dx,858.0,0.027972027972027972,0.0,0.1649888484215437,0.027221320103467124,0.0,1.0
Hinselmann,858.0,0.04079254079254079,0.0,0.19792464966613474,0.03917416694546217,0.0,1.0
Schiller,858.0,0.08624708624708624,0.0,0.2808923013686258,0.07890048496816292,0.0,1.0
Citology,858.0,0.05128205128205128,0.0,0.22070109393249174,0.048708972862998544,0.0,1.0
Biopsy,858.0,0.0641025641025641,0.0,0.2450784147471607,0.060063429374981304,0.0,1.0
